Pointure;Cheveux;Genre
44;C;M
37;L;F
44;C;M
41;C;M
46;C;M
43;C;M
42;C;M
41;C;M
39;L;F
37;L;F
44;C;M
36;ML;F
36;L;F
44;C;M
42;ML;M
43;ML;M
37;L;F
45;C;M
42;C;M
43;C;M
41;C;M
42;C;M
43;C;M
45;C;M
43;C;M
45;C;M
46;C;M
42;C;M
45;C;M
44;C;M
43;C;M
36;ML;F
